 Tipo Entidad ; Cód. Entidad ; Entidad ; Cód. Provincia ; Provincia ; Cód. Municipio ; Municipio ; Nº de oficinas ;OPERACIONES;RETIRADA EFECTIVO;INCIDENCIAS ST;DIAS INACTIVIDAD
BANCOS;0049;BANCO SANTANDER, S.A.;03;Alicante;902;PILAR DE LA HORADADA ;1;498;44770;4;8
BANCOS;0078;BANCA PUEYO, S.A.;06;Badajoz;153;VILLANUEVA DE LA SERENA ;1;674;60680;3;6
BANCOS;2100;CAIXABANK, S.A.;06;Badajoz;153;VILLANUEVA DE LA SERENA ;1;574;51620;1;3
COOPERATIVAS DE CREDITO;3008;CAJA R. DE NAVARRA, S.C.C.;31;Navarra;013;AMESCOA BAJA ;1;627;56410;5;5
BANCOS;2100;CAIXABANK, S.A.;31;Navarra;098;ESTERIBAR ;1;627;56430;3;3
BANCOS;0078;BANCA PUEYO, S.A.;10;Cáceres;216;ZARZA DE GRANADILLA ;1;648;58270;2;6
COOPERATIVAS DE CREDITO;3058;CAJAMAR CAJA RURAL, S.C.C.;30;Murcia;024;LORCA ;1;649;58370;5;5
BANCOS;0049;BANCO SANTANDER, S.A.;20;Guipúzcoa;079;ZARAUTZ ;1;608;54720;4;8
BANCOS;2100;CAIXABANK, S.A.;30;Murcia;030;MURCIA ;1;490;44090;4;0
COOPERATIVAS DE CREDITO;3058;CAJAMAR CAJA RURAL, S.C.C.;30;Murcia;030;MURCIA ;1;626;56320;0;0
BANCOS;2100;CAIXABANK, S.A.;50;Zaragoza;297;ZARAGOZA ;1;712;64060;4;12
BANCOS;1490;SINGULAR BANK, S.A.;50;Zaragoza;297;ZARAGOZA ;1;504;45350;3;6
COOPERATIVAS DE CREDITO;3191;CAJA RURAL DE ARAGON S.C.C.;50;Zaragoza;297;ZARAGOZA ;1;627;56440;2;6
BANCOS;0182;BANCO BILBAO VIZCAYA ARGENTARIA, SA;50;Zaragoza;297;ZARAGOZA ;1;412;37070;2;4
BANCOS;0081;BANCO DE SABADELL, S.A.;50;Zaragoza;297;ZARAGOZA ;2;879;79130;0;0
BANCOS;0083;RENTA 4 BANCO, S.A.;50;Zaragoza;297;ZARAGOZA ;1;610;54850;4;0
BANCOS;0235;BANCO PICHINCHA ESPAÑA, S.A.;50;Zaragoza;297;ZARAGOZA ;1;521;46920;0;0
BANCOS;2100;CAIXABANK, S.A.;50;Zaragoza;204;PEDROLA ;1;360;32390;1;0
